pb,mag,magerr,mjd
g,17.794903637401763,0.06174208206246298,58596.4611343001
g,17.72868061710986,0.04168093666649772,58644.213078700006
R,17.665803795252593,0.048744994880432,58660.231898100115
g,17.81175642439684,0.05020596836254693,58556.47802079981
R,17.07935518487417,0.022121505612564422,58547.51861110004
g,16.750660085035285,0.027026729809616193,58560.50123840012
g,17.78191556813991,0.04863512639673595,58556.48228010023
R,17.628830188195984,0.034321448617377744,58556.50635420019
R,16.74169828769323,0.0326087019964319,58575.419409700204
R,17.598012051300323,0.044015617427190505,58568.49995370023
R,17.079356157714052,0.022121456624849926,58547.51861110004
g,17.85519470320225,0.06502006770233426,58526.54887730023
R,17.553917369190486,0.03196343426491136,58526.52542820014
g,17.802598534458195,0.06601684754347246,58538.52402780019
g,17.82060978380753,0.058753059199770405,58526.54841439985
R,17.606846115099348,0.037175557638065834,58288.299085599836
R,17.755739003256405,0.04948996949140881,58572.45451389998
R,16.99080895909983,0.028904283472193086,58705.1629050998
g,16.972295241242147,0.028654911178713462,58718.153252299875
g,17.16540023350545,0.030211553606295807,58732.14890050003
R,17.053766010565067,0.025222550605572585,58749.11270829989
g,17.21678159964651,0.03350378999882042,58749.130659699906
R,16.842048082584732,0.024924634119809934,58761.11954860017
R,16.772375968497965,0.02996504007474248,58761.11864579981
g,17.92683281572085,0.09039755986050768,58771.110625000205
R,17.64944242509964,0.04560164411695049,58768.119328700006
R,16.814383352323965,0.025894410330854836,58775.093923599925
g,16.778271695881063,0.03145852158684506,58775.114421300124
R,16.761296973522,0.034475822762141124,58775.09438659996
g,16.829331273957962,0.02644329767552116,58775.11395830009
g,17.85695120541511,0.08432988250986098,58781.11261569988
g,17.850638267880406,0.0520953086750475,58852.527129599825
R,18.044736670733123,0.06803063149853072,58873.53642359981
R,18.004606178655823,0.06665556056731474,58873.53821759997
g,18.087580207428942,0.06366519073897886,58873.55005790014
g,17.82494300638378,0.074413954524337,58879.504189800005
g,17.921446902819437,0.06130936723637468,58879.51858799998
g,17.13537332749015,0.028379629357975254,58873.550520800054
g,17.806822786561224,0.05203275046980696,58852.52758099977
R,17.578606135104934,0.0391663138034031,58852.563750000205
R,17.083431323380104,0.0322540724231862,58883.55896990001
R,17.061711598770717,0.03119826796436445,58883.559432900045
g,16.787196285994224,0.033912602171298614,58886.49781250022
g,16.745529921191093,0.025089691977577967,58886.49827549979
R,17.10930699526755,0.027949511744724802,58886.56026619999
g,17.79908215756588,0.08022021286218099,58890.545879600104
g,17.853176316009748,0.062083013964485616,58893.48074069992
g,17.877086115601283,0.06969408870764746,58893.48119209986
R,16.92363557293613,0.0243166259400161,58898.537835599855
R,16.8992553463734,0.03021411141231808,58898.53829859989
g,17.94875890392561,0.07189742171911656,58906.52424769988
R,16.86243162608788,0.030600050779745498,58911.49586809985
g,17.11964863702784,0.031066919081171353,58943.43912040023
R,17.120084119543545,0.02425857053109287,58943.462511599995
R,17.22634264813361,0.02529733568724297,58962.330300900154
